# 权限码目录（code / 中文名 / 模块 / 后端是否强制）。gen-perm-catalog.py 读它生成 SQL。
# 新增 @perm.can 的码时必须在这里补一行 —— PermCatalogCoverageTest 会拦。
*	全部权限（超管）	*	0
agent:*	代理商 全部	agent	0
agent:account:manage	代理账号 开通/停用	agent	1
agent:agent:read	代理商 查看	agent	1
agent:agent:update	代理商 编辑	agent	1
agent:apply:approve	代理入驻申请 审核	agent	1
agent:apply:create	代理入驻申请 代录	agent	1
agent:apply:read	代理入驻申请 查看	agent	1
agent:performance:read	代理绩效 查看	agent	1
agent:scope:assign	设备/点位 划拨给代理	agent	1
agent:settlement:read	代理结算/收益 查看	agent	0
agent:share:config	代理分润 配置	agent	1
cs:*	客服 全部	cs	0
cs:session:read	客服会话 查看	cs	1
cs:session:reply	客服会话 回复	cs	1
cs:ticket:handle	报障工单 受理	cs	1
cs:ticket:read	报障工单 查看	cs	1
cs:ticket:update	报障工单 编辑	cs	1
dashboard:overview:read	经营总览 查看	dashboard	1
dashboard:todo:read	待办聚合 查看	dashboard	0
device:cabinet:*	机柜 全部	device	0
device:cabinet:create	机柜 新增	device	1
device:cabinet:read	机柜台账 查看	device	1
device:cabinet:update	机柜 编辑	device	1
device:command:*	远程指令 全部	device	0
device:command:send	远程指令 下发	device	1
device:inventory:*	库存调拨 全部	device	0
device:inventory:read	库存/调拨/盘点 查看	device	1
device:inventory:transfer	调拨 执行	device	1
device:ota:*	固件 全部	device	0
device:ota:manage	固件投放 建/改	device	1
device:ota:read	固件版本库 查看	device	1
device:powerbank:*	充电宝 全部	device	0
device:powerbank:read	充电宝 查看	device	1
device:powerbank:update	充电宝 报废/标记	device	1
device:slot:read	仓位 查看	device	0
device:vendor:config	供应商接入 配置	device	1
device:vendor:read	供应商接入 查看	device	1
finance:*	财务 全部	finance	0
finance:invoice:issue	发票 登记/开具	finance	1
finance:invoice:read	发票 查看	finance	1
finance:invoice:update	发票 编辑	finance	1
finance:invoice:void	发票 作废	finance	1
finance:ledger:create	账务分录 记账	finance	1
finance:ledger:read	账务分录 查看	finance	1
finance:payout_account:read	收款账户 查看	finance	1
finance:payout_account:update	收款账户 维护	finance	1
finance:recon:handle	对账差错 处理	finance	1
finance:recon:read	对账 查看	finance	1
finance:reconcile:read	对账 查看	finance	1
finance:settlement:confirm	结算单 确认	finance	1
finance:settlement:generate	结算单 生成	finance	1
finance:settlement:read	结算单 查看	finance	1
finance:share_record:read	分润明细 查看	finance	1
finance:share_rule:create	分润规则 新增	finance	1
finance:share_rule:read	分润规则 查看	finance	1
finance:withdrawal:apply	提现 申请（代理自助）	finance	1
finance:withdrawal:audit	提现 审核	finance	1
finance:withdrawal:pay	提现 打款	finance	1
finance:withdrawal:read	提现 查看	finance	1
location:*	场地 全部	location	0
location:analysis:read	坪效分析 查看	location	1
location:contract:create	合同 新增	location	1
location:contract:read	合同 查看	location	1
location:contract:update	合同 编辑	location	1
location:crm:read	BD CRM 查看	location	1
location:crm:update	BD CRM 跟进	location	1
location:lead:read	BD 线索 查看	location	1
location:lead:update	BD 线索 编辑	location	1
location:overview:read	站点概览 查看	location	1
location:poi:create	点位 新增	location	1
location:poi:read	点位 查看	location	1
location:poi:update	点位 编辑	location	1
location:site:update	站点 编辑	location	1
location:venue:create	场地方 新增	location	1
location:venue:read	场地方 查看	location	1
location:venue:update	场地方 编辑	location	1
marketing:*	营销 全部	marketing	0
marketing:ad:read	广告位/投放 查看	marketing	1
marketing:ad:update	广告位/投放 维护	marketing	1
marketing:campaign:read	活动 查看	marketing	1
marketing:campaign:update	活动 编辑	marketing	1
marketing:coupon:create	优惠券 新增	marketing	1
marketing:coupon:issue	优惠券 发放	marketing	1
marketing:coupon:read	优惠券 查看	marketing	1
marketing:coupon:update	优惠券 编辑	marketing	1
marketing:notice:read	公告 查看	marketing	1
marketing:notice:update	公告 维护	marketing	1
marketing:push:send	推送触达 发送	marketing	1
marketing:push:update	推送任务 维护	marketing	1
marketing:recharge:update	充值活动 维护	marketing	1
marketing:referral:read	邀请裂变 查看	marketing	1
marketing:referral:update	邀请裂变 维护	marketing	1
order:deposit:update	押金/欠费 处置	order	1
order:exception:handle	异常订单 处置	order	1
order:exception:read	异常订单 查看	order	1
order:intervene:execute	订单干预 执行	order	1
order:order:export	订单 导出	order	0
order:order:read	订单 查看/详情	order	1
order:order:update	订单 编辑	order	1
order:refund:apply	退款 申请	order	1
order:refund:audit	退款 审批	order	1
org:audit:read	操作审计 查看	org	1
org:dept:create	部门 新增	org	1
org:dept:read	组织架构 查看	org	1
org:employee:create	员工 新增	org	1
org:employee:read	员工 查看	org	1
org:employee:update	员工 编辑	org	1
org:performance:read	绩效报表 查看	org	1
org:role:read	角色 查看	org	1
org:role:update	角色 增改删/授权	org	1
pricing:*	计费 全部	pricing	0
pricing:adjustment:cancel	预约调价 撤销	pricing	1
pricing:adjustment:create	预约调价 新建编辑	pricing	1
pricing:adjustment:read	预约调价 查看	pricing	1
pricing:plan:create	计费模板 新增	pricing	1
pricing:plan:read	计费模板 查看	pricing	1
pricing:plan:update	计费模板 编辑	pricing	1
pricing:rule:config	调价单 配置	pricing	0
pricing:rule:read	时段倍率 查看	pricing	1
pricing:rule:update	时段倍率 编辑	pricing	1
report:*	报表 全部	report	0
report:consumer:read	消费者分析 查看	report	1
report:custom:read	自定义报表 查看	report	1
report:device:read	设备报表 查看	report	1
report:finance:read	财务报表 查看	report	1
report:location:read	点位报表 查看	report	1
report:screen:read	实时大屏 查看	report	1
system:app_version:read	应用版本 查看	system	1
system:app_version:release	应用版本 发布	system	1
system:bank:read	银行字典 查看	system	1
system:bank:update	银行字典 编辑	system	1
system:biz_rule:read	业务规则 查看	system	1
system:biz_rule:update	业务规则 编辑	system	1
system:brand:read	品牌 查看	system	1
system:brand:update	品牌 维护	system	1
system:dict:read	参数字典/地区库 查看	system	1
system:dict:update	参数字典/地区库 编辑	system	1
